Natalie Achonwa
Jaylyn Agnew
Bella Alarie
Kayla Alexander
Julie Allemand
Lindsay Allen
Kristine Anigwe
Ariel Atkins
Seimone Augustus
Rachel Banham
Monique Billings
Sue Bird
DeWanna Bonner
Jessica Breland
Brittany Brewer
Lexie Brown
Kalani Brown
Cierra Burdick
Kennedy Burke
Liz Cambage
Jordin Canada
Bridget Carleton
Essence Carson
Chennedy Carter
Tina Charles
Kaila Charles
Layshia Clarendon
Alysha Clark
Alaina Coates
Nia Coffey
Napheesa Collier
Sydney Colson
Te'a Cooper
Kahleah Copper
Lauren Cox
Sophie Cunningham
Crystal Dangerfield
Damiris Dantas
Elena Delle Donne
Diamond DeShields
Blake Dietrick
Skylar Diggins-Smith
Stefanie Dolson
Kathleen Doyle
Candice Dupree
Asia Durr
Sylvia Fowles
Jacki Gemelos
Reshanda Gray
Chelsea Gray
Allisha Gray
Brittney Griner
Marie Gülich
Megan Gustafson
Dearica Hamby
Tyasha Harris
Isabelle Harrison
Bria Hartley
Tianna Hawkins
Ruthy Hebard
Mikiah Herbert Harrigan
Natisha Hiedeman
Myisha Hines-Allen
Joyner Holmes
Bria Holmes
Natasha Howard
Sabrina Ionescu
Briann January
Moriah Jefferson
Alisia Jenkins
Stella Johnson
Shenise Johnson
Glory Johnson
Jazmine Jones
Brionna Jones
Alexis Jones
Paris Kea
Betnijah Laney
Crystal Langhorne
Jantel Lavender
Kiara Leslie
Jewell Loyd
Marina Mabrey
Ezi Magbegor
Stephanie Mavunga
Kayla McBride
Erica McCall
Angel McCoughtry
Teaira McCowan
Emma Meesseman
Leilani Mitchell
Tiffany Mitchell
Kelsey Mitchell
Beatrice Mompremier
Kaleena Mosqueda-Lewis
Astou Ndour
Kia Nurse
Leaonna Odom
Arike Ogunbowale
Nneka Ogwumike
Candace Parker
Cheyenne Parker
Shey Peddy
Theresa Plaisance
Kelsey Plum
Aerial Powers
Epiphanny Prince
Allie Quigley
Danielle Robinson
Sugar Rodgers
Tierra Ruffin-Pratt
Mercedes Russell
Satou Sabally
Katie Lou Samuelson
Kylee Shook
Odyssey Sims
Kamiah Smalls
Alanna Smith
Azurá Stevens
Breanna Stewart
Kiah Stokes
Shekinna Stricklen
Sug Sutton
Carolyn Swords
Brittney Sykes
Diana Taurasi
Alyssa Thomas
Jasmine Thomas
Kayla Thornton
Morgan Tuck
Brianna Turner
Courtney Vandersloot
Kia Vaughn
Victoria Vivians
Megan Walker
Shatori Walker-Kimbrough
Erica Wheeler
Sami Whitcomb
Sydney Wiese
Riquna Williams
Gabby Williams
Courtney Williams
Elizabeth Williams
Jocelyn Willoughby
A'ja Wilson
Jackie Young
Amanda Zahui B
